"year","country_name","v2lgqugen","v2x_polyarchy","wdi_gdpcapcur","Actor1Type","EventViolence","actor_ord","quota_ord"
1991,"Mexico",0,0.416,3756.88993658112,2,0,"Citizens","No"
1991,"Mexico",0,0.416,3756.88993658112,1,0,"State","No"
1991,"Mexico",0,0.416,3756.88993658112,3,0,"Party","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,1,0,"State","No"
1994,"Mexico",0,0.473,5976.52358720335,1,0,"State","No"
1994,"Mexico",0,0.473,5976.52358720335,1,0,"State","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,1,0,"State","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,1,0,"State","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,2,0,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,3,0,"Party","No"
1994,"Mexico",0,0.473,5976.52358720335,2,1,"Citizens","No"
1994,"Mexico",0,0.473,5976.52358720335,3,0,"Party","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,1,1,"State","No"
1997,"Mexico",0,0.548,5370.21751079841,1,1,"State","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,2,1,"Citizens","No"
1997,"Mexico",0,0.548,5370.21751079841,4,0,"Armed Group","No"
2000,"Mexico",0,0.641,7232.87880868278,2,0,"Citizens","No"
2000,"Mexico",0,0.641,7232.87880868278,2,1,"Citizens","No"
2000,"Mexico",0,0.641,7232.87880868278,1,0,"State","No"
2000,"Mexico",0,0.641,7232.87880868278,2,1,"Citizens","No"
2000,"Mexico",0,0.641,7232.87880868278,2,1,"Citizens","No"
2000,"Mexico",0,0.641,7232.87880868278,2,0,"Citizens","No"
2000,"Mexico",0,0.641,7232.87880868278,4,1,"Armed Group","No"
2003,"Mexico",3,0.703,7120.3847701944,2,0,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,0,"Citizens","Yes, strong sanct"
2003,"Mexico",3,0.703,7120.3847701944,2,1,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,1,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,3,0,"Party","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,1,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,0,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,1,"Citizens","Yes, strong sanct"
2006,"Mexico",3,0.672,9125.42262440559,2,1,"Citizens","Yes, strong sanct"
