year,sideA,sideB,weight,agression
2020,malinaltepec communal militia (mexico),alacatlatzala communal militia (mexico),1,0
2018,los rodolfos gang,cartel de tlahuac,1,0
2020,cartel jalisco nueva generacion,los zetas - cartel del noreste faction,2,12.442199547202511
2019,cartel jalisco nueva generacion,los zetas - cartel del noreste faction,2,12.442199547202511
2021,gulf cartel,los zetas - cartel del noreste faction,5,10.666137474577225
2021,gulf cartel,los zetas - cartel del noreste faction,5,10.666137474577225
2020,gulf cartel,los zetas - cartel del noreste faction,5,10.666137474577225
2020,gulf cartel,los zetas - cartel del noreste faction,5,10.666137474577225
2019,gulf cartel,los zetas - cartel del noreste faction,5,10.666137474577225
2019,los metros gang,los zetas - cartel del noreste faction,2,2.1972245773362196
2018,los metros gang,los zetas - cartel del noreste faction,2,2.1972245773362196
2020,chamula militia,chamula militia,1,1.0986122886681098
2019,chamula militia,chocomanatlan communal militia (mexico),1,1.0986122886681098
2019,cartel del abuelo,cartel jalisco nueva generacion,1,0
2019,los zetas - cartel del noreste faction,cartel jalisco nueva generacion,1,7.692113339595466
2021,cu: united cartels,cartel jalisco nueva generacion,1,0
2020,la familia michoacan cartel,cartel jalisco nueva generacion,4,5.267858159063328
2020,la familia michoacan cartel,cartel jalisco nueva generacion,4,5.267858159063328
2019,la familia michoacan cartel,cartel jalisco nueva generacion,4,5.267858159063328
2019,la familia michoacan cartel,cartel jalisco nueva generacion,4,5.267858159063328
2020,los covid gang,cartel jalisco nueva generacion,1,0
2019,los rojos gang,cartel jalisco nueva generacion,3,2.302585092994046
2019,los rojos gang,cartel jalisco nueva generacion,3,2.302585092994046
2019,los rojos gang,cartel jalisco nueva generacion,3,2.302585092994046
2018,los talibanes gang,cartel jalisco nueva generacion,1,0
2019,los uriarte cartel,cartel jalisco nueva generacion,1,0
2019,los valencia cartel,cartel jalisco nueva generacion,1,0
2020,los viagras gang,cartel jalisco nueva generacion,5,3.295836866004329
2020,los viagras gang,cartel jalisco nueva generacion,5,3.295836866004329
2019,los viagras gang,cartel jalisco nueva generacion,5,3.295836866004329
2019,los viagras gang,cartel jalisco nueva generacion,5,3.295836866004329
2018,los viagras gang,cartel jalisco nueva generacion,5,3.295836866004329
2019,los zetas,cartel jalisco nueva generacion,1,8.299285906897275
2018,nueva plaza cartel,cartel jalisco nueva generacion,1,0
2020,santa rosa de lima cartel,cartel jalisco nueva generacion,4,2.833213344056216
2020,santa rosa de lima cartel,cartel jalisco nueva generacion,4,2.833213344056216
2019,santa rosa de lima cartel,cartel jalisco nueva generacion,4,2.833213344056216
2019,santa rosa de lima cartel,cartel jalisco nueva generacion,4,2.833213344056216
2021,sinaloa cartel,cartel jalisco nueva generacion,5,8.640118538253535
2020,sinaloa cartel,cartel jalisco nueva generacion,5,8.640118538253535
2020,sinaloa cartel,cartel jalisco nueva generacion,5,8.640118538253535
2020,sinaloa cartel,cartel jalisco nueva generacion,5,8.640118538253535
2020,sinaloa cartel,cartel jalisco nueva generacion,5,8.640118538253535
2019,los cornudos gang,coahuayutla de guerrero communal militia (mexico),1,0
2020,cartel jalisco nueva generacion,cotija de la paz communal militia (mexico),1,12.442199547202511
2018,los viagras gang,ctng: tijuana new generation cartel,1,3.295836866004329
2021,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2021,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2021,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2021,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,cartel jalisco nueva generacion,cu: united cartels,10,12.442199547202511
2020,grupo elite gang,cu: united cartels,1,0
2018,san pablo cuatro venados communal militia (mexico),cuilapam de guerrero communal militia (mexico),1,0
2018,dzan communal militia (mexico),dzan communal militia (mexico),1,0
2018,el pinar communal militia (mexico),el cipresal communal militia (mexico),1,0
2018,loma de la cruz communal militia (mexico),el nith communal militia (mexico),1,0
2019,la linea gang,el tigre cartel,1,2.0794415416798357
2020,molinos los arcos communal militia (mexico),ezln: zapatista army of national liberation,1,0
2018,la union tepito,fuerza anti union,2,2.0794415416798357
2018,la union tepito,fuerza anti union,2,2.0794415416798357
2020,cartel jalisco nueva generacion,fuerzas unidas fm,2,12.442199547202511
2020,cartel jalisco nueva generacion,fuerzas unidas fm,2,12.442199547202511
2020,caborca cartel,gente nueva cartel,1,0
2021,la linea gang,gente nueva cartel,2,2.0794415416798357
2020,la linea gang,gente nueva cartel,2,2.0794415416798357
2020,los tlacos gang,guerreros unidos gang,1,0
2021,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,los zetas - cartel del noreste faction,gulf cartel,8,7.692113339595466
2020,gulf cartel,gulf cartel,1,10.666137474577225
2018,los metros gang,gulf cartel,1,2.1972245773362196
2020,tropa del infierno gang,gulf cartel,1,0
2020,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2020,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2020,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2019,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
2018,huachicoleros (mexico),huachicoleros (mexico),30,6.802394763324311
